name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YGR119C	0.1383	0.0256	22573.3181	10.0000	1.3395	1
YKL068W	0.2727	0.0108	9750.3181	10.0000	0.0364	0
YMR047C	0.0173	0.0107	528208.9585	16.0000	0.4896	1
YNR069C	0.2857	0.0207	4281.5957	0.0010	0.0000	0
YOL123W	0.4667	0.0564	1182.7575	8.0000	2.8654	1
YBR019C	0.6667	0.2500	201.5080	0.0010	0.0000	0
YOL150C	0.4000	0.0363	6508.0508	0.0010	0.0000	0
YBR020W	0.6667	0.0206	7750.3439	0.0010	0.0000	0
YML051W	0.5000	0.3333	4562.1519	8.0000	14418.6528	0
YEL021W	1.0000	0.5000	0.0000	0.0010	0.0000	0
YOR128C	0.0833	0.0167	73806.1895	0.0010	0.0000	0
YBR057C	0.1970	0.0327	18758.5904	0.0010	0.0000	0
YBR077C	0.2857	0.0607	8322.1016	2.0000	0.2582	0
YDL032W	1.0000	0.1260	0.0000	0.0010	0.0000	0
YDL033C	0.3778	0.0261	3691.6545	0.0010	0.0000	0
YDL223C	0.6667	0.0398	212.5899	0.0010	0.0000	0
YEL044W	1.0000	0.1260	0.0000	0.0010	0.0000	1
YGL200C	0.2000	0.0224	13717.0605	13.0000	1.5071	0
YGR135W	0.2857	0.0298	12272.2304	0.0010	0.0000	0
YKL041W	0.2222	0.0304	2753.6736	4.0000	0.0336	0
YKR020W	0.3736	0.0206	6753.8820	0.0010	0.0000	0
YLL039C	0.2222	0.0417	8108.6399	0.0010	0.0000	0
YMR116C	0.7000	0.0534	43.1763	0.0010	0.0000	0
YOR312C	0.5000	0.0521	1862.6140	0.0010	0.0000	0
YPL069C	0.3333	0.0325	912.5486	0.0010	0.0000	0
YBR024W	0.6667	0.1425	1069.2501	0.0010	0.0000	1
YBR037C	0.6667	0.3333	1022.6284	0.0010	0.0000	0
YLL009C	0.6667	0.0074	5400.7880	0.0010	0.0000	0
YBR025C	1.0000	1.0000	0.0000	0.0010	0.0000	0
YNL207W	1.0000	1.0000	0.0000	0.0010	0.0000	1
YBR033W	0.6667	0.0541	109.1367	0.0010	0.0000	0
YNL228W	0.6667	0.0316	312.4914	0.0010	0.0000	0
YBR034C	0.2222	0.0323	11352.3783	0.0010	0.0000	0
YDR432W	0.6667	0.1333	137.4628	0.0010	0.0000	1
YBR036C	0.1503	0.0419	44366.5548	1.0000	0.0205	0
YBR265W	0.5000	0.1169	4517.1915	0.0010	0.0000	1
YDL015C	0.6667	0.0200	1443.2631	0.0010	0.0000	1
YDR062W	1.0000	0.1503	0.0000	0.0010	0.0000	1
YDR208W	1.0000	0.1503	0.0000	0.0010	0.0000	1
YDR270W	0.6667	0.1404	4383.0000	0.0010	0.0000	0
YDR297W	0.6667	0.1256	245.0931	0.0010	0.0000	0
YER093C	0.4762	0.0560	2271.4849	3.0000	0.2882	1
YMR272C	0.4643	0.0235	2906.4350	0.0010	0.0000	0
YMR296C	0.4000	0.1000	12340.2296	0.0010	0.0000	1
YNL330C	0.4000	0.0731	924.3687	16.0000	43.3190	0
YOL004W	0.1648	0.0270	24513.6957	28.0000	46.9625	0
YPL057C	0.2364	0.0179	20640.6525	1.0000	0.0005	0
YPL231W	1.0000	0.1503	0.0000	0.0010	0.0000	1
YBR039W	1.0000	0.4000	0.0000	0.0010	0.0000	0
YPR024W	0.4000	0.0410	6111.7896	0.0010	0.0000	0
YBR040W	1.0000	0.2857	0.0000	0.0010	0.0000	0
YCL040W	0.2857	0.0158	11266.5052	2.0000	0.0016	0
YBR043C	0.6667	0.1795	36.6195	0.0010	0.0000	0
YGR074W	0.2000	0.0620	32864.0794	9.0000	70.6735	1
YJL155C	0.6667	0.1321	848.6498	0.0010	0.0000	0
YBR044C	0.4000	0.0725	8947.5507	0.0010	0.0000	0
YKL141W	0.5000	0.0165	6048.0781	0.0010	0.0000	1
YKL148C	0.6667	0.2857	533.1296	0.0010	0.0000	0
YLL041C	0.6667	0.2857	533.1296	0.0010	0.0000	0
YLR263W	0.3810	0.0512	5120.3343	2.0000	0.1071	0
YOR178C	0.4667	0.0663	2957.2319	4.0000	1.7017	0
YOR329C	0.4000	0.0131	6954.6936	0.0010	0.0000	1
YBR046C	1.0000	0.2821	0.0000	0.0010	0.0000	0
YBR048W	0.6667	0.2857	46.9258	14.0000	572.0473	0
YDR025W	0.5000	0.1089	2515.9329	7.0000	60.6194	0
YDR450W	0.5000	0.2172	2720.3786	8.0000	1550.0403	0
YBR050C	0.8333	0.0525	151.5963	3.0000	0.0260	0
YDR028C	0.2088	0.0373	11154.7617	4.0000	0.2871	0
YBR052C	1.0000	0.5000	0.0000	0.0010	0.0000	0
YDR032C	0.5000	0.1868	13145.0000	0.0010	0.0000	0
YBR054W	0.5000	0.0075	9544.8446	0.0010	0.0000	0
YDR190C	0.6667	0.4000	4383.0000	3.0000	2019.6864	1
YBR055C	0.4000	0.0912	4667.2778	3.0000	3.4822	1
YDL064W	0.4000	0.0943	2727.4499	0.0010	0.0000	1
YPR082C	1.0000	0.4000	0.0000	3.0000	0.0000	1
YCL055W	0.4000	0.1048	4812.0841	0.0010	0.0000	0
YDR206W	0.3333	0.0792	2347.9819	2.0000	0.2460	0
YGL192W	1.0000	0.1524	0.0000	0.0010	0.0000	0
YIL144W	0.1341	0.0319	27241.0502	35.0000	162.7684	1
YBR058C	0.2500	0.0856	9441.3675	0.0010	0.0000	0
YOL059W	0.6667	0.1250	459.9716	0.0010	0.0000	0
YOL064C	0.3333	0.0537	3447.0986	0.0010	0.0000	0
YOL113W	0.6667	0.1667	182.6005	0.0010	0.0000	0
YOL132W	0.6667	0.2000	527.4995	0.0010	0.0000	0
YOL156W	0.6667	0.0952	86.3865	0.0010	0.0000	0
YBR059C	0.2222	0.0713	10845.1688	0.0010	0.0000	0
YER144C	0.4000	0.0648	1756.8520	0.0010	0.0000	0
YBR060C	0.4000	0.0458	8209.8441	19.0000	98.9841	1
YPR019W	1.0000	0.3333	0.0000	10.0000	0.0000	1
YBR061C	0.1000	0.0508	37439.3140	0.0010	0.0000	0
YBR300C	1.0000	0.1000	0.0000	0.0010	0.0000	0
